SN,Name of Grid Substation,Operation Zone,Transformer Detail (MVA),Total Capacity (MVA),Owership,Grid Circle,Voltage Level
75,Kallayanpur,Dhaka,3x50/75,225,POWER GRID
76,Kalurghat,Chattogram,2x80/120,240,POWER GRID
77,Kamrangirchar,Dhaka,3x50/75,225,DPDC
78,Kaptai,Chattogram,1x15/20 (132/11kV),,BPDB
79,Kazla,Dhaka,2x80/120,240,DPDC
80,Keraniganj,Dhaka,2x50/75,150,POWER GRID
81,Khagrachari,Chattogram,2x30/39 (2x3x10/13),78,POWER GRID
82,Khulna (C),Khulna,3x48/64,192,POWER GRID
83,Khulshi,Chattogram,2x80/120,240,POWER GRID
84,Kishoreganj,Mymensingh,3x80/120,360,POWER GRID
85,Kodda,Dhaka,5x50/75,375,POWER GRID
86,Kosba,Cumilla,2x80/120,240,POWER GRID
87,KSRM,Chattogram,2x35/50,100,Bulk
88,Kulaura,Sylhet,3x25/41,123,POWER GRID
89,Kurigram,Rangpur,2x50/75,150,POWER GRID
90,Kushtia,Khulna,2x80/120,240,POWER GRID
91,KYCR,Chattogram,1x20/25,20,Bulk
92,Laksam,Cumilla,2x80/120,240,POWER GRID
93,Lakshmipur,Cumilla,2x80/120,240,POWER GRID
94,Lalbagh,Dhaka,2x50/75,150,DPDC
95,Lalmonirhat,Rangpur,2x50/75 2X15/20 1X25/33,223,POWER GRID
96,Mahasthangarh,Rajshahi,2x80/120,240,POWER GRID
97,Madanganj,Dhaka,2x35/50,100,POWER GRID
98,Madaripur,Khulna,1x25/41 2x50/75,191,POWER GRID
99,Madartek,Dhaka,2x50/75,150,DPDC
100,Madunaghat,Chattogram,2x80/120,240,POWER GRID
101,Magura,Khulna,"2x25/41, 1x80/120",202,POWER GRID
102,Maijdee,Cumilla,2x80/120,240,POWER GRID
103,Manikganj,Dhaka,2x50/75 1x35/50,200,POWER GRID
104,Maniknagar,Dhaka,2x50/75,150,DPDC
105,Matarbari,Chattogram,2x25/41,82,POWER GRID
106,Matuail,Dhaka,2x50/75,150,DPDC
107,MI Cement,Dhaka,1x28,28,Bulk
108,Mirpur,Dhaka,3x80/120,360,DESCO
109,Mirzapur,Mymensingh,2x50/75,150,POWER GRID
110,Mithapukur,Rangpur,2x50/75,150,POWER GRID
111,MSML,Chattogram,1x25/30,30,Bulk
112,Moghbazar,Dhaka,3x50/75,225,DPDC
113,Mongla,Khulna,2x50/75,150,POWER GRID
114,Motijheel,Dhaka,2x80/120,240,DPDC
115,MRT Motijheel,Dhaka,2x40/50,100,DMTCL
116,MRT Uttara,Dhaka,2x40/50,100,DMTCL
117,Mukhtagacha,Mymensingh,3x50/75,225,POWER GRID
118,Munshiganj,Dhaka,2x80/120,240,POWER GRID
119,Muradnagar,Cumilla,2x80/120,240,POWER GRID
120,Mymensingh,Mymensingh,3x80/120,360,POWER GRID
121,Naogaon,Rajshahi,"2x50/75, 1x80/120",270,POWER GRID
122,Narail,Khulna,2x50/75,150,POWER GRID
123,Narinda,Dhaka,2x50/75,150,DPDC
124,Narsingdi,Dhaka,4x50/75,300,POWER GRID
125,Natore,Rajshahi,"3x50/75, 1x35/50",275,POWER GRID
126,Nawabganj,Dhaka,2x50/75,,POWER GRID
127,Netrokona,Mymensingh,"2x25/41,1x50/75",157,POWER GRID
128,New Tongi,Dhaka,2x80/120,240,DESCO
129,Niamatpur,Rajshahi,"2x50/75, 1x35/50",200,POWER GRID
130,Noapara,Khulna,2x50/75 1x44.1/63,213,POWER GRID
131,Pabna,Rajshahi,"2x50/75, 2x25/41",232,POWER GRID
132,Palashbari,Rangpur,2x50/75 2X25/41,232,POWER GRID
133,Panchagarh,Rangpur,4x25/41,164,POWER GRID
134,Patiya,Chattogram,2x80/120,240,POWER GRID
135,Patuakhali,Barishal,2x50/75 1x25/41,191,POWER GRID
136,Payra,Barishal,2x80/120,240,POWER GRID
137,PHP,Cumilla,1x30/35,35,Bulk
138,Postagola,Dhaka,2x80/120,240,DPDC
139,Purbachal,Dhaka,2x80/120,240,DESCO
140,Purbasadipur,Rangpur,"1x80/120, 1x25/41 2x50/75",311,POWER GRID
141,RSRM,Dhaka,1x20/25,25,Bulk
142,Rajbari,Khulna,"2x50/75, 1x25/41",191,POWER GRID
143,Rajshahi,Rajshahi,"1x80/120, 1x50/75,1x35/50",290,POWER GRID
144,Rajshahi(N),Rajshahi,2x80/120,240,POWER GRID
145,Rajendrapur,Dhaka,3x80/120,360,POWER GRID
146,Ramganj,Cumilla,2x50/75,150,POWER GRID
147,Rampur,Chattogram,2x80/120,240,POWER GRID
148,Rangamati,Chattogram,2x25/41,82,POWER GRID
149,Rangpur,Rangpur,"2x80/120, 1x25/41",281,POWER GRID
150,Rooppur,Rajshahi,2x25/41,82,MoST
151,Saidpur,Rangpur,"1x35/50, 2x50/75",241,POWER GRID
152,Satkhira,Khulna,"2x25/41, 1x40 1x80/120",242,POWER GRID
153,Sathia,Rajshahi,2x50/75,150,POWER GRID
154,Satmasjid,Dhaka,2x80/120,240,POWER GRID
155,Savar,Dhaka,4x50/75,300,POWER GRID
156,Seven Circle,Dhaka,2x30,60,Bulk
157,Shah Cement,Dhaka,1x80/120,120,Private
158,Shahjadpur,Rajshahi,"2x50/75, 2x35/50",250,POWER GRID
159,Shahjibazar,Sylhet,"1x25/41, 1x50/75, 1x80/120",236,POWER GRID
160,Shahmirpur,Chattogram,2x48/64,128,POWER GRID
161,Shariatpur,Khulna,2x80/120,240,POWER GRID
162,Sherpur,Mymensingh,3x50/75,225,POWER GRID
163,Sherpur(Bogura),Rajshahi,3x50/75,225,POWER GRID
164,Sholoshahar,Chattogram,2x80/120,240,POWER GRID
165,Shyampur,Dhaka,"2x50/75, 2x80/120",390,DPDC
166,Siddhirganj,Dhaka,3x80/120,360,POWER GRID
167,Sikalbaha,Chattogram,"1x25/41.6, 1x50/75",116.6,BPDB
168,Sitakunda,Chattogram,2x50/75,150,POWER GRID
169,Sirajganj,Rajshahi,"2x50/75, 2x80/120",390,POWER GRID
170,Sitalakhya,Dhaka,3x50/75,225,DPDC
171,Sonargaon,Dhaka,2x80/120,240,POWER GRID
172,Srimangal,Sylhet,"1x15/20, 3x25/41",143,POWER GRID
173,Sreenagar,Dhaka,2x50/75,150,POWER GRID
174,SSML,Chattogram,1x25/30,30,Bulk
175,Sripur,Dhaka,2x50/75,150,POWER GRID
176,Sunamganj,Sylhet,2x30/39 (2x3x10/13),78,POWER GRID
177,Sylhet,Sylhet,"1x80/120, 2x25/41,1x50/83",285,POWER GRID
178,Sylhet (S),Sylhet,2x50/75,150,POWER GRID
179,Tangail,Mymensingh,"2x80/120, 1x50/75, 1x25/41",356,POWER GRID
180,Taraganj,Rangpur,2x25/41,82,POWER GRID
181,Tasnim Chemical,Dhaka,1x80/120,120,Bulk
182,Thakurgaon,Rangpur,"2x50/75, 1x25/41",191,POWER GRID
183,TKCCL,Chattogram,2x50/75,75,Bulk
184,Tongi,Dhaka,"1x50/75, 2x80/120",315,POWER GRID
185,Tongi-3 (Mill Gate),Dhaka,2x80/120,240,DESCO
186,Ullapara,Rajshahi,2x80/120,240,POWER GRID
187,Ullon,Dhaka,3x35/50,150,DPDC
188,Uttara 3P,Dhaka,2x80/120,240,DESCO
189,Uttara,Dhaka,3x80/120,360,DESCO
190,Zigatola,Dhaka,2x80/120,240,DPDC
